timestamp_ns,value_bar
1723798800000000000,0.000
1723798800010000000,0.000
1723798800020000000,0.062
1723798800030000000,0.000
1723798800040000000,0.000
1723798800050000000,0.000
1723798800060000000,0.000
1723798800070000000,0.000
1723798800080000000,0.000
1723798800090000000,0.000
1723798800100000000,0.506
1723798800110000000,0.011
1723798800120000000,0.000
1723798800130000000,0.000
1723798800140000000,0.000
1723798800150000000,0.212
1723798800160000000,0.000
1723798800170000000,0.000
1723798800180000000,0.000
1723798800190000000,0.130
1723798800200000000,0.000
1723798800210000000,0.000
1723798800220000000,0.225
1723798800230000000,0.000
1723798800240000000,0.375
1723798800250000000,0.341
1723798800260000000,0.000
1723798800270000000,0.000
1723798800280000000,0.000
1723798800290000000,0.000
1723798800300000000,0.315
1723798800310000000,0.000
1723798800320000000,0.000
1723798800330000000,0.274
1723798800340000000,0.000
1723798800350000000,0.044
1723798800360000000,0.120
1723798800370000000,0.075
1723798800380000000,0.065
1723798800390000000,0.131
1723798800400000000,0.000
1723798800410000000,0.000
1723798800420000000,0.203
1723798800430000000,0.000
1723798800440000000,0.000
1723798800450000000,0.000
1723798800460000000,0.000
1723798800470000000,0.000
1723798800480000000,0.132
1723798800490000000,0.000
1723798800500000000,0.000
1723798800510000000,0.000
1723798800520000000,0.170
1723798800530000000,0.000
1723798800540000000,0.000
1723798800550000000,0.000
1723798800560000000,0.166
1723798800570000000,0.038
1723798800580000000,0.319
1723798800590000000,0.265
1723798800600000000,0.136
1723798800610000000,0.143
1723798800620000000,0.010
1723798800630000000,0.000
1723798800640000000,0.187
1723798800650000000,0.235
1723798800660000000,0.000
1723798800670000000,0.030
1723798800680000000,0.468
1723798800690000000,0.397
1723798800700000000,0.172
1723798800710000000,0.000
1723798800720000000,0.000
1723798800730000000,0.012
1723798800740000000,0.310
1723798800750000000,0.000
1723798800760000000,0.251
1723798800770000000,0.000
1723798800780000000,0.000
1723798800790000000,0.187
1723798800800000000,0.000
1723798800810000000,0.000
1723798800820000000,0.000
1723798800830000000,0.246
1723798800840000000,0.000
1723798800850000000,0.004
1723798800860000000,0.000
1723798800870000000,0.000
1723798800880000000,0.000
1723798800890000000,0.068
1723798800900000000,0.000
1723798800910000000,0.000
1723798800920000000,0.000
1723798800930000000,0.000
1723798800940000000,0.116
1723798800950000000,0.345
1723798800960000000,0.242
1723798800970000000,0.023
1723798800980000000,0.280
1723798800990000000,0.344
1723798801000000000,0.484
1723798801010000000,0.000
1723798801020000000,0.001
1723798801030000000,0.000
1723798801040000000,0.000
1723798801050000000,0.000
1723798801060000000,0.000
1723798801070000000,0.171
1723798801080000000,0.000
1723798801090000000,0.000
1723798801100000000,0.259
1723798801110000000,0.349
1723798801120000000,0.000
1723798801130000000,0.151
1723798801140000000,0.212
1723798801150000000,0.211
1723798801160000000,0.000
1723798801170000000,0.000
1723798801180000000,0.456
1723798801190000000,0.000
1723798801200000000,0.000
1723798801210000000,0.000
1723798801220000000,0.495
1723798801230000000,0.010
1723798801240000000,0.324
1723798801250000000,0.000
1723798801260000000,0.000
1723798801270000000,0.000
1723798801280000000,0.098
1723798801290000000,0.225
1723798801300000000,0.297
1723798801310000000,0.000
1723798801320000000,0.000
1723798801330000000,0.142
1723798801340000000,0.000
1723798801350000000,0.122
1723798801360000000,0.096
1723798801370000000,0.000
1723798801380000000,0.015
1723798801390000000,0.432
1723798801400000000,0.459
1723798801410000000,0.000
1723798801420000000,0.011
1723798801430000000,0.298
1723798801440000000,0.000
1723798801450000000,0.124
1723798801460000000,0.250
1723798801470000000,0.000
1723798801480000000,0.330
1723798801490000000,0.065
1723798801500000000,0.000
1723798801510000000,0.265
1723798801520000000,0.244
1723798801530000000,0.000
1723798801540000000,0.296
1723798801550000000,0.575
1723798801560000000,0.411
1723798801570000000,0.000
1723798801580000000,0.071
1723798801590000000,0.000
1723798801600000000,0.000
1723798801610000000,0.000
1723798801620000000,0.000
1723798801630000000,0.049
1723798801640000000,0.367
1723798801650000000,0.155
1723798801660000000,0.153
1723798801670000000,0.075
1723798801680000000,0.052
1723798801690000000,0.000
1723798801700000000,0.041
1723798801710000000,0.000
1723798801720000000,0.000
1723798801730000000,0.000
1723798801740000000,0.000
1723798801750000000,0.000
1723798801760000000,0.020
1723798801770000000,0.000
1723798801780000000,0.000
1723798801790000000,0.043
1723798801800000000,0.000
1723798801810000000,0.000
1723798801820000000,0.000
1723798801830000000,0.123
1723798801840000000,0.191
1723798801850000000,0.000
1723798801860000000,0.021
1723798801870000000,0.000
1723798801880000000,0.000
1723798801890000000,0.000
1723798801900000000,0.000
1723798801910000000,0.000
1723798801920000000,0.000
1723798801930000000,0.224
1723798801940000000,0.180
1723798801950000000,0.000
1723798801960000000,0.000
1723798801970000000,0.000
1723798801980000000,0.000
1723798801990000000,0.035
1723798802000000000,0.768
1723798802009999999,0.000
1723798802020000000,0.000
1723798802029999999,1.042
1723798802040000000,1.092
1723798802049999999,1.422
1723798802060000000,2.218
1723798802069999999,0.704
1723798802080000000,2.082
1723798802089999999,2.801
1723798802100000000,2.583
1723798802109999999,3.465
1723798802120000000,3.653
1723798802130000000,3.116
1723798802140000000,4.160
1723798802150000000,3.613
1723798802160000000,4.175
1723798802170000000,4.906
1723798802180000000,4.266
1723798802190000000,4.968
1723798802200000000,5.541
1723798802210000000,5.771
1723798802220000000,5.484
