timestamp_ns,value_pct
1722762000000000000,0.000
1722762000010000000,0.000
1722762000020000000,0.000
1722762000030000000,0.117
1722762000040000000,0.000
1722762000050000000,0.000
1722762000060000000,0.000
1722762000070000000,0.000
1722762000080000000,0.000
1722762000090000000,0.252
1722762000100000000,0.000
1722762000110000000,0.107
1722762000120000000,0.000
1722762000130000000,0.128
1722762000140000000,0.081
1722762000150000000,0.055
1722762000160000000,0.000
1722762000170000000,0.000
1722762000180000000,0.000
1722762000190000000,0.021
1722762000200000000,0.000
1722762000210000000,0.000
1722762000220000000,0.000
1722762000230000000,0.000
1722762000240000000,0.000
1722762000250000000,0.100
1722762000260000000,0.000
1722762000270000000,0.049
1722762000280000000,0.097
1722762000290000000,0.008
1722762000300000000,0.000
1722762000310000000,0.012
1722762000320000000,0.000
1722762000330000000,0.000
1722762000340000000,0.103
1722762000350000000,0.055
1722762000360000000,0.055
1722762000370000000,0.000
1722762000380000000,0.000
1722762000390000000,0.184
1722762000400000000,0.210
1722762000410000000,0.042
1722762000420000000,0.100
1722762000430000000,0.018
1722762000440000000,0.025
1722762000450000000,0.000
1722762000460000000,0.000
1722762000470000000,0.000
1722762000480000000,0.000
1722762000490000000,0.000
1722762000500000000,0.286
1722762000510000000,0.000
1722762000520000000,0.115
1722762000530000000,0.049
1722762000540000000,0.006
1722762000550000000,0.181
1722762000560000000,0.114
1722762000570000000,0.000
1722762000580000000,0.259
1722762000590000000,0.000
1722762000600000000,0.000
1722762000610000000,0.000
1722762000620000000,0.000
1722762000630000000,0.000
1722762000640000000,0.006
1722762000650000000,0.000
1722762000660000000,0.076
1722762000670000000,0.000
1722762000680000000,0.000
1722762000690000000,0.000
1722762000700000000,0.000
1722762000710000000,0.000
1722762000720000000,0.000
1722762000730000000,0.000
1722762000740000000,0.000
1722762000750000000,0.000
1722762000760000000,0.000
1722762000770000000,0.014
1722762000780000000,0.000
1722762000790000000,0.000
1722762000800000000,0.000
1722762000810000000,0.116
1722762000820000000,0.000
1722762000830000000,0.000
1722762000840000000,0.123
1722762000850000000,0.120
1722762000860000000,0.000
1722762000870000000,0.000
1722762000880000000,0.168
1722762000890000000,0.000
1722762000900000000,0.243
1722762000910000000,0.000
1722762000920000000,0.016
1722762000930000000,0.000
1722762000940000000,0.000
1722762000950000000,0.099
1722762000960000000,0.002
1722762000970000000,0.111
1722762000980000000,0.000
1722762000990000000,0.117
1722762001000000000,0.000
1722762001010000000,0.000
1722762001020000000,0.000
1722762001030000000,0.000
1722762001040000000,0.030
1722762001050000000,0.000
1722762001060000000,0.000
1722762001070000000,0.042
1722762001080000000,0.000
1722762001090000000,0.039
